KEY ID	Brazilian Portuguese
LocalButton	Local
OnlineButton	Online
HowToPlayButton	Como jogar
FreePlayButton	Partida livre
PublicHeader	Público
PrivateHeader	Privado
HostHeader	Anfitrião
ExitButton	Sair
BackButton	Voltar
AvailableGamesLabel	Partidas disponíveis
CreateGameButton	Criar partida
FindGameButton	Buscar partida
EnterCode	Inserir código
GhostIgnoreTasks	Você morreu. Desfrute do caos.
GhostDoTasks	Você morreu. Termine as tarefas pra vencer.
TotalTasksCompleted	Total de tarefas concluidas
GhostImpostor	Você morreu, mas ainda pode sabotar!
ImpostorTask	Sabote a galera e mate geral.
FakeTasks	Tarefas falsas:
TaskComplete	Tarefa Concluída!
ExileTextSP	{0} era o Impostor.
ExileTextSN	{0} não era o Impostor.
ExileTextPP	{0} era um Impostor.
ExileTextPN	{0} não era um Impostor.
NoExileSkip	Ninguém foi ejetado. (Votação pulada)
NoExileTie	Ninguém foi ejetado. (Empate)
ExileTextNonConfirm	{0} foi ejetado.
ImpostorsRemainS	Resta {0} Impostor.
ImpostorsRemainP	Restam {0} Impostores.
Hallway	Corredor
Engines	Motores
UpperEngine	Motor Superior
Cafeteria	Cantina
Weapons	Arsenal
Reactor	Reator
Security	Segurança
MedBay	Enfermaria
LifeSupp	O2
Nav	Navegação
LowerEngine	Motor Inferior
Electrical	Elétrica
Admin	Administração
Storage	Depósito
Shields	Escudos
Comms	Comunicação
Decontamination	Descontaminação
Launchpad	Plataforma
LockerRoom	Vestiário
Laboratory	Laboratório
Balcony	Sacada
Office	Escritório
Greenhouse	Estufa
DivertPowerTo	Desviar energia para {0}
AcceptDivertedPower	Aceitar energia desviada
SubmitScan	Fazer raio-x
PrimeShields	Acionar escudos
FuelEngines	Abastecer motores
ChartCourse	Traçar curso
StartReactor	Acionar reator
SwipeCard	Passar cartão
ClearAsteroids	Detonar asteroides
DownloadData	Baixar dados
UploadData	Carregar dados
InspectSample	Examinar amostra
EmptyChute	Limpar calha
EmptyGarbage	Tirar o lixo
AlignEngineOutput	Alinhar boca do motor
FixWiring	Consertar fiação
CalibrateDistributor	Calibrar
UnlockManifolds	Liberar propulsores
ResetReactor	Colapso do reator em
FixLights	Consertar luzes
CleanO2Filter	Limpar filtro de O2
FixComms	Comunicadores sabotados
RestoreOxy	Falta de oxigênio em
StabilizeSteering	Estabilizar direção
AssembleArtifact	Montar artefato
SortSamples	Separar amostras
MeasureWeather	Avaliar o clima
EnterIdCode	Inserir ID
BuyBeverage	Comprar bebida
ProcessData	Processar dados
NumImpostorsS	Há <color=#FF1919FF>1 Impostor</color> entre nós
NumImpostorsP	Há <color=#FF1919FF>{0} Impostores</color> entre nós
Crewmate	Tripulante
Impostor	Impostor
Victory	Vitória
Defeat	Derrota
CrewmatesDisconnected	Muitos tripulantes\ndesconectados
ImpostorDisconnected	Impostor desconectado
PickAnomaly	Apontar anomalia
WaterPlantsGetCan	Regador na mão!
AuthOfficeOkay	Escritório OK
AuthCommsOkay	Comunicadores OK
AuthOfficeActive	Escritório ATIVO
AuthCommsActive	Comunicadores ATIVOS
AuthOfficeNotActive	Escritório DESATIVADO
AuthCommsNotActive	Comunicadores DESATIVADOS
SecLogEntry	{0} passou no sensor {1}
LogNorth	Norte
LogSouthEast	Sudeste
LogSouthWest	Sudoeste
EnterName	Apelido
SwipeCardPleaseInsert	Insira o cartao
SwipeCardPleaseSwipe	Passe o cartao
SwipeCardBadRead	Falha. Tente de novo.
SwipeCardTooFast	Muito rápido. De novo.
SwipeCardTooSlow	Muito devagar. De novo.
SwipeCardAccepted	Sucesso. Obrigado.
ReactorHoldToStop	Segure para evitar colapso
ReactorWaiting	Aguardando segundo usuário
ReactorNominal	Reator estável
MeetingWhoIsTitle	Quem é o Impostor?
MeetingVotingBegins	A votação começa em: {0} s
MeetingVotingEnds	A votação termina em: {0} s
MeetingVotingResults	Contagem dos votos
MeetingProceeds	Continuando em: {0} s
MeetingHasVoted	{0} votou. Restam {1}.
HowToPlayText1	Among Us é um jogo de trabalho em equipe e sabotagem.\n\nOs jogadores se dividem entre Tripulantes e Impostores.
HowToPlayText2	Jogue em grupos de 4 a 15 jogadores online ou pela rede Wi-Fi local!
HowToPlayText41	O anfitrião controla as regras do jogo.
HowToPlayText42	Primeiro, você deve determinar com quem quer jogar!\n\nSe quiser jogar com seus amigos online, crie uma partida "privada" e compartilhe o código da sala.\n\nSe quiser jogar com gente do mundo inteiro, crie uma partida "pública".
HowToPlayText43	Quer mais tarefas? Que tal andar mais rápido? Mais Impostores? Como anfitrião, você pode alterar essas configurações. Mas não deixe de comunicar as alterações aos outros jogadores.
HowToPlayText44	Se alguém for grosso e/ou enviar spam, o anfitrião pode expulsar o jogador temporariamente como advertência ou banir o jogador da sala.
HowToPlayTextMap	Os jogadores têm acesso a um mapa pessoal para se orientarem dentro da nave.
HowToPlayTextCrew1	Objetivo: encher a barra de tarefas do grupo ou descobrir o Impostor.
HowToPlayTextCrew2	Cumpra tarefas para encher a barra.
HowToPlayTextCrew3	Reaja às sabotagens do Impostor.
HowToPlayTextCrew4	Encontrou o Impostor? Reunião de Emergência!
HowToPlayTextCrew5	Notifique os corpos encontrados.
HowToPlayTextCrew6	Veja atividades suspeitas no Mapa de Admin e na Segurança.
HowToPlayTextImp1	Objetivo: eliminar a Tripulação.
HowToPlayTextImp2	Misture-se à Tripulação.
HowToPlayTextImp3	Desloque-se pelos dutos.
HowToPlayTextImp4	Finja que cumpre tarefas.
HowToPlayTextImp5	Sabote a nave e confunda a Tripulação.
HowToPlayTextImp6	Feche portas e prenda vítimas.
HowToPlayTextImp7	Objetivo: eliminar Tripulação entre esperas.
HowToPlayText5	Ao jogar com amigos no mesmo ambiente físico, não é permitido conversar (para manter o jogo justo entre a Tripulação e o Impostor).\n\nSe um jogador for morto pelo Impostor, ele não pode falar enquanto a partida não acabar.\n\nOs Fantasmas continuam a cumprir tarefas para levar a uma possível vitória da Tripulação.
HowToPlayText6	Quando alguém notifica um corpo ou convoca uma reunião de emergência, a Tripulação se reúne para discutir o que sabe sobre o Impostor.\n\nOs jogadores podem então conversar abertamente sobre quem suspeitam que seja o Impostor e sobre suas informações. Ao jogar com amigos no mesmo ambiente físico, os Fantasmas não podem falar, pois já sabem quem é o Impostor.\n\nOs Impostores vão tentar provar sua inocência ou acusar outros Tripulantes.
HowToPlayText7	Após a discussão, vote em quem você acha que é o Impostor.\n\nO mais votado será ejetado da nave, então vote com cuidado!\n\nSe você não tiver informações o suficiente, ou se a Tripulação assim decidir, é possível pular a votação e evitar que um inocente seja ejetado, ganhando tempo para juntar mais informações.
HowToPlayText81	Pratique no modo Partida Livre!
HowToPlayText82	Defina suas próprias tarefas como Tripulante ou pratique suas estratégias malignas de Impostor!
SettingsGeneral	Geral
SettingsControls	Controles
SettingsSound	Áudio
SettingsGraphics	Gráficos
SettingsData	Dados
SettingsCensorChat	Censurar bate-papo
SettingsMusic	Música
SettingsSFX	Efeitos
SettingsOn	Sim
SettingsOff	Não
SettingsSendTelemetry	Enviar telemetria
SettingsControlMode	Modo Controle
SettingsTouchMode	Touch
SettingsJoystickMode	Controle
SettingsKeyboardMode	Teclado/Mouse
SettingsFullscreen	Tela cheia
SettingsVSync	VSync
SettingsResolution	Resolução
SettingsApply	Aplicar
SettingsPersonalizeAds	Personalizar anúncios
SettingsLanguage	Idioma
SettingsJoystickSize	Tamanho
SettingsMouseMode	Mouse
MatchMapName	Mapa:
MatchLanguage	Bate-papo:
MatchImpostors	Impostores:
MatchMaxPlayers	Máx. jogadores:
Cancel	Cancelar
Confirm	Confirmar
PlayerColor	Cor
PlayerHat	Chapéu
PlayerSkin	Visual
PlayerPet	Mascote
GameSettings	Partida
GameRecommendedSettings	Opções recomendadas
GameCustomSettings	Opções personalizadas
GameMapName	Mapa
GameNumImpostors	nº Impostores
GameNumMeetings	nº Reuniões de Emergência
GameDiscussTime	Tempo de discussão
GameVotingTime	Tempo de votação
GamePlayerSpeed	Ritmo jogador
GameCrewLight	Visão Tripulante
GameImpostorLight	Visão Impostor
GameKillCooldown	Espera (abate)
GameKillDistance	Distância (abate)
GameCommonTasks	nº Tarefas comuns
GameLongTasks	nº Tarefas longas
GameShortTasks	nº Tarefas curtas
GameEmergencyCooldown	Espera (reunião)
GameSecondsAbbrev	{0}s
GameConfirmImpostor	Confirmar ejeções
GameVisualTasks	Tarefas visuais
GameAnonymousVotes	Votos anônimos
GameTaskBarMode	Atualizar barra de tarefas
SettingNormalTaskMode	Sempre
SettingMeetingTaskMode	Reuniões
SettingInvisibleTaskMode	Nunca
Limit	Limite
RoomCode	Código
LeaveGame	Sair da partida
ReturnToGame	Voltar à partida
LocalHelp	Treta na conexão?\n\n● Confira se todo mundo está conectado na mesma rede Wi-Fi\n● Confira se todo mundo tem a mesma versão do jogo (canto superior esquerdo)\n● Confira se seu sinal de Wi-Fi está forte\n● Às vezes, ter outra pessoa como anfitrião ajuda...\n● Às vezes, reiniciar o aplicativo ajuda...\n● Às vezes, reiniciar o telefone ajuda...\n● O problema continuou? Entre em contato conosco no Discord!
OnlineHelp	Como funciona?\n\n● Ao assumir o papel de anfitrião, você vai ver o código\nda partida perto do botão Iniciar.\n● Compartilhe o código com seus amigos para criar uma sala privada.\n● Ou toque em Privado para tornar a sala pública e\nexibi-la na opção Buscar partida.\n● O anfitrião pode banir ou expulsar jogadores no bate-papo.\n● O problema continuou? Entre em contato conosco no Discord!
EmergencyCount	TRIPULANTE {0} AINDA TEM\n\n\n\nREUNIÕES DE EMERGÊNCIA
EmergencyNotReady	A TRIPULAÇÃO TERÁ QUE ESPERAR\n\n\n\nANTES DA PRÓXIMA EMERGÊNCIA
EmergencyDuringCrisis	NÃO É POSSÍVEL CONVOCAR \nREUNIÕES DE EMERGÊNCIA NAS CRISES
EmergencyRequested	REUNIÃO DE EMERGÊNCIA SOLICITADA\nAGUARDANDO ANFITRIÃO
AdPolicyTitle	Política de anúncios
AdPolicyText	Podemos usar seus dados pessoais para peneirar anúncios para você? Se clicar em "Sim", nossos parceiros publicitários, como o Google AdMob e o Unity Ads, vão recolher dados e empregar identificadores de dispositivo e cookies para personalizar os seus anúncios automaticamente. Se clicar em "Não", você ainda verá os anúncios não personalizados. Para remover todos os anúncios, é só contratar o serviço Zero Anúncios [httpstore]aqui[], assim não vão mais aparecer anúncios para você e seus amigos quando você for o anfitrião! Para saber mais sobre as práticas de privacidade dos nossos parceiros publicitários, confira a nossa [https://innersloth.com/privacy.php]Política de Privacidade[]. É possível alterar essa decisão a qualquer momento, na seção "Dados" do menu de configurações.
Accept	Aceitar
RemoveAds	Remover anúncios
PlainYes	Sim
PlainNo	Não
PrivacyPolicyTitle	Política de Privacidade
PrivacyPolicyText	A Innersloth processa dados pessoais em Among Us. Leia nossa <link="https://innersloth.com/privacy.php">Política de Privacidade</link> para saber mais sobre nossas práticas em relação à privacidade. Você pode definir suas configurações de dados pessoais no Among Us em "Dados".
ManageDataButton	Gerenciar coleta de dados
UnderstandButton	Entendi
WaterPlants	Regar plantas
WeatherEta	Tempo: {0} s
WeatherComplete	Concluído
RunDiagnostics	Fazer revisão
SettingShort	Curtas
SettingMedium	Médias
SettingLong	Longas
SamplesPress	Aperte pra iniciar
SamplesAdding	Adicionando reagente
SamplesSelect	Aponte a anomalia
SamplesThanks	Obrigado!
SamplesComplete	Teste concluído
AstDestroyed	Detonados: {0}
TaskTestTitle	Testa-tarefas 2000
BeginDiagnostics	Conferir Status
UserLeftGame	{0} saiu da partida.
GameStarting	Começa em {0}
ChatRateLimit	Rápido demais. Espere {0} segundos.
Tasks	Tarefas
MedscanRequested	Raio-x solicitado
MedscanWaitingFor	Aguardando {0}
MedscanCompleted	Raio-x pronto!
MedscanCompleteIn	Raio-x pronto em {0}
StatsTitle	Estatísticas
StatsBodiesReported	Corpos notificados:\t
StatsEmergenciesCalled	Reuniões de emergência:\t
StatsTasksCompleted	Tarefas concluídas:\t
StatsAllTasksCompleted	Todas as tarefas concluídas:\t
StatsSabotagesFixed	Sabotagens reparadas:\t
StatsImpostorKills	Abates como Impostor:\t\t
StatsTimesMurdered	Assassinado x vezes:\t
StatsTimesEjected	Ejetado x vezes:\t\t
StatsCrewmateStreak	Tripulante x vezes seguidas:\t
StatsGamesImpostor	Impostor x vezes:\t
StatsGamesCrewmate	Tripulante x vezes:\t
StatsGamesStarted	Partidas iniciadas:\t
StatsGamesFinished	Partidas finalizadas:\t
StatsImpostorVoteWins	Vitórias por voto como Impostor:\t
StatsImpostorKillsWins	Vitórias por abate como Impostor:\t
