KEY ID	German
LocalButton	Lokal
OnlineButton	Online
HowToPlayButton	Anleitung
FreePlayButton	Freies Spiel
PublicHeader	Öffentlich
PrivateHeader	Privat
HostHeader	Hosten
ExitButton	Verlassen
BackButton	Zurück
AvailableGamesLabel	Verfügbare Spiele
CreateGameButton	Neues Spiel
FindGameButton	Spielsuche
EnterCode	Code-Eingabe
GhostIgnoreTasks	Du bist tot. Genieße das Chaos.
GhostDoTasks	Du bist tot. Beende die Aufgaben zum Gewinnen.
TotalTasksCompleted	Erledigte Aufgaben insgesamt
GhostImpostor	Du bist tot, kannst aber noch sabotieren.
ImpostorTask	Sabotiere und lege alle um.
FakeTasks	Fake-Aufgaben:
TaskComplete	Aufgabe erledigt!
ExileTextSP	{0} war der Verräter.
ExileTextSN	{0} war nicht der Verräter.
ExileTextPP	{0} war ein Verräter.
ExileTextPN	{0} war kein Verräter.
NoExileSkip	Keiner raus (übersprungen).
NoExileTie	Keiner raus (unentschieden).
ExileTextNonConfirm	{0} ist raus.
ImpostorsRemainS	{0} Verräter übrig.
ImpostorsRemainP	{0} Verräter übrig.
Hallway	Gang
Engines	Antrieb
UpperEngine	Antrieb oben
Cafeteria	Cafeteria
Weapons	Waffen
Reactor	Reaktor
Security	Security
MedBay	Klinik
LifeSupp	O2
Nav	Navigation
LowerEngine	Antrieb unten
Electrical	Elektrik
Admin	Admin
Storage	Lager
Shields	Schilde
Comms	Kommunikation
Decontamination	Dekontamination
Launchpad	Startrampe
LockerRoom	Umkleide
Laboratory	Labor
Balcony	Balkon
Office	Büro
Greenhouse	Treibhaus
DivertPowerTo	Strom umleiten zu: {0}
AcceptDivertedPower	Stromumleitung annehmen
SubmitScan	Scannen
PrimeShields	Schild aktivieren
FuelEngines	Antrieb laden
ChartCourse	Kurs bestimmen
StartReactor	Reaktor starten
SwipeCard	Karte ziehen
ClearAsteroids	Asteroiden räumen
DownloadData	Daten-Download
UploadData	Daten-Upload
InspectSample	Probe untersuchen
EmptyChute	Rutsche leeren
EmptyGarbage	Müll entleeren
AlignEngineOutput	Antrieb ausrichten
FixWiring	Verdrahten
CalibrateDistributor	Verteiler kalibrieren
UnlockManifolds	Düsen freigeben
ResetReactor	Reaktorschmelze in
FixLights	Licht reparieren
CleanO2Filter	O2-Filter säubern
FixComms	Komm sabotiert
RestoreOxy	O2 aufgebraucht in
StabilizeSteering	Steuer stabilisieren
AssembleArtifact	Artefakt sammeln
SortSamples	Proben ordnen
MeasureWeather	Wetterdaten
EnterIdCode	ID-Code-Eingabe
BuyBeverage	Getränk kaufen
ProcessData	Daten bearbeiten
NumImpostorsS	Unter uns ist <color=#FF1919FF>1 Verräter</color>
NumImpostorsP	Unter uns sind <color=#FF1919FF>{0} Verräter</color>
Crewmate	Besatzung
Impostor	Verräter
Victory	Gewonnen
Defeat	Verloren
CrewmatesDisconnected	Besatzung größtenteils\ngetrennt
ImpostorDisconnected	Verräter getrennt
PickAnomaly	Anomalie wählen
WaterPlantsGetCan	Gießkanne genommen!
AuthOfficeOkay	Büro OK
AuthCommsOkay	Komm OK
AuthOfficeActive	Büro AKTIV
AuthCommsActive	Komm AKTIV
AuthOfficeNotActive	Büro NICHT AKTIV
AuthCommsNotActive	Komm NICHT AKTIV
SecLogEntry	{0} hat den {1}-Sensor passiert
LogNorth	Nord
LogSouthEast	Südost
LogSouthWest	Südwest
EnterName	Spitzname
SwipeCardPleaseInsert	Karte einfuehren.
SwipeCardPleaseSwipe	Karte durchziehen.
SwipeCardBadRead	Fehler. Nochmal.
SwipeCardTooFast	Zu schnell. Nochmal.
SwipeCardTooSlow	Zu langsam. Nochmal.
SwipeCardAccepted	Angenommen. Danke.
ReactorHoldToStop	Halten, um Schmelze zu stoppen
ReactorWaiting	Warten auf zweiten Nutzer
ReactorNominal	Reaktor nominal
MeetingWhoIsTitle	Wer ist der Verräter?
MeetingVotingBegins	Abstimmung in: {0} s
MeetingVotingEnds	Abstimmungsende in: {0} s
MeetingVotingResults	Abstimmungsergebnis
MeetingProceeds	Findet statt in: {0} s
MeetingHasVoted	{0} hat abgestimmt. {1} übrig.
HowToPlayText1	Among Us ist ein Spiel über Teamarbeit und Verrat.\n\nSpieler sind entweder Besatzungsmitglieder oder Verräter.
HowToPlayText2	Spielt mit 4 bis 15 Spielern online oder via lokalem WLAN!
HowToPlayText41	Als Host eines Spiels hast du die Kontrolle über das Spiel.
