KEY ID	Irish
LocalButton	Logánta
OnlineButton	Ar líne
HowToPlayButton	Treoir imeartha
FreePlayButton	Saorimirt
PublicHeader	Poiblí
PrivateHeader	Príobháideach
HostHeader	Óstáil
ExitButton	Scoir
BackButton	Siar
AvailableGamesLabel	Cluichí ar fáil
CreateGameButton	Cruthaigh cluiche
FindGameButton	Cuardaigh cluiche
EnterCode	Iontráil an cód
GhostIgnoreTasks	Fuair tú bás. Bain sult as an anord.
GhostDoTasks	Fuair tú bás. Críochnaigh do chuid tascanna chun buachaint.
TotalTasksCompleted	Líon na dtascanna críochnaithe
GhostImpostor	Fuair tú bás. Féadfaidh tú fós sabaitéireacht a dhéanamh.
ImpostorTask	Déan sabaitéireacht agus maraigh gach duine.
FakeTasks	Bréagthascanna:
TaskComplete	Tasc críochnaithe!
ExileTextSP	Ba é {0} an Fealltóir.
ExileTextSN	Níorbh é {0} an Fealltóir.
ExileTextPP	Bhí {0} ina Fhealltóir.
ExileTextPN	Ní raibh {0} ina Fhealltóir.
NoExileSkip	Níor eisteilgeadh aon duine. (Léimthe)
NoExileTie	Níor eisteilgeadh aon duine. (Comhscór)
ExileTextNonConfirm	Eisteilgeadh {0}.
ImpostorsRemainS	{0} Fealltóir fágtha.
ImpostorsRemainP	{0} Fealltóir fágtha.
Hallway	Halla
Engines	Innill
UpperEngine	Inneall Uachtair
Cafeteria	Caifitéire
Weapons	Armra
Reactor	Imoibreoir
Security	Slándáil
MedBay	Otharlann
LifeSupp	O2
Nav	Stiúradh
LowerEngine	Inneall Íochtair
Electrical	Leictreach
Admin	Riarachán
Storage	Stóras
Shields	Sciatha
Comms	Cumarsáid
Decontamination	Dí-éilliúchán
Launchpad	Ceap Lainseála
LockerRoom	Taisceadáin
Laboratory	Saotharlann
Balcony	Balcóin
Office	Oifig
Greenhouse	Teach Gloine
DivertPowerTo	Seol cumhacht chuig {0}
AcceptDivertedPower	Glac leis an gcumhacht sheolta
SubmitScan	Cuir isteach scanadh
PrimeShields	Prímeáil na sciatha
FuelEngines	Cuir breosla sna hinnill
ChartCourse	Rianaigh an cúrsa
StartReactor	Tosaigh an t-imoibreoir
SwipeCard	Svaidhpeáil do chárta
ClearAsteroids	Scrios na hastaróidigh
DownloadData	Íoslódáil na sonraí
UploadData	Uaslódáil na sonraí
InspectSample	Scrúdaigh an sampla
