KEY ID	Italian
LocalButton	Locale
OnlineButton	Online
HowToPlayButton	Istruzioni
FreePlayButton	Gioco libero
PublicHeader	Pubblica
PrivateHeader	Privata
HostHeader	Ospita
ExitButton	Esci
BackButton	Indietro
AvailableGamesLabel	Partite disponibili
CreateGameButton	Crea partita
FindGameButton	Trova partita
EnterCode	Inserisci codice
GhostIgnoreTasks	Sei morto. Goditi il caos.
GhostDoTasks	Sei morto. Completa gli incarichi per vincere.
TotalTasksCompleted	Totale incarichi completati
GhostImpostor	Sei morto. Puoi ancora sabotare.
ImpostorTask	Sabota e uccidi tutti.
FakeTasks	Finti incarichi:
TaskComplete	Incarico completato!
ExileTextSP	{0} era l'impostore.
ExileTextSN	{0} non era l'impostore.
ExileTextPP	{0} era un impostore.
ExileTextPN	{0} non era un impostore.
NoExileSkip	Nessuno è stato espulso. (Saltato)
NoExileTie	Nessuno è stato espulso. (Pareggio)
ExileTextNonConfirm	{0} è stato espulso.
ImpostorsRemainS	Rimane {0} impostore.
ImpostorsRemainP	Rimangono {0} impostori.
Hallway	Corridoio
Engines	Motori
UpperEngine	Motore superiore
Cafeteria	Mensa
Weapons	Armeria
Reactor	Reattore
Security	Sicurezza
MedBay	Infermeria
LifeSupp	O2
Nav	Sala comandi
LowerEngine	Motore inferiore
Electrical	Manutenzione
Admin	Amministrazione
Storage	Stiva
Shields	Scudi
Comms	Comunicazioni
Decontamination	Decontaminazione
Launchpad	Rampa di lancio
LockerRoom	Spogliatoio
Laboratory	Laboratorio
Balcony	Balcone
Office	Ufficio
Greenhouse	Serra
DivertPowerTo	Devia energia a: {0}
AcceptDivertedPower	Accetta energia
SubmitScan	Effettua scansione
PrimeShields	Attiva scudi
FuelEngines	Rifornisci motori
ChartCourse	Traccia rotta
StartReactor	Avvia reattore
SwipeCard	Scorri tessera
ClearAsteroids	Distruggi asteroidi
DownloadData	Scarica dati
UploadData	Carica dati
InspectSample	Esamina campione
EmptyChute	Svuota scivolo
EmptyGarbage	Scarica rifiuti
AlignEngineOutput	Allinea motore
FixWiring	Ripara cavi
CalibrateDistributor	Calibra distributore
UnlockManifolds	Sblocca collettori
ResetReactor	Fusione del reattore in
FixLights	Ripara luci
CleanO2Filter	Pulisci filtro O2
FixComms	Comunicazioni sabotate
RestoreOxy	Ossigeno esaurito tra
StabilizeSteering	Stabilizza guida
AssembleArtifact	Assembla artefatto
SortSamples	Ordina campioni
MeasureWeather	Misura clima
EnterIdCode	Inserisci codice ID
BuyBeverage	Compra bibita
ProcessData	Elabora dati
NumImpostorsS	<color=#FF1919FF>Un impostore</color> è tra di noi
NumImpostorsP	Ci sono <color=#FF1919FF>{0} impostori</color> tra di noi
Crewmate	Astronauta
Impostor	Impostore
Victory	Vittoria
Defeat	Sconfitta
CrewmatesDisconnected	Gran parte degli astronauti\nsi è disconnessa
ImpostorDisconnected	L'impostore si è disconnesso
PickAnomaly	Scegli anomalia
WaterPlantsGetCan	Innaffiatoio preso!
AuthOfficeOkay	Ufficio OK
AuthCommsOkay	Comunicazioni OK
AuthOfficeActive	Ufficio ATTIVO
AuthCommsActive	Comunicazioni ATTIVE
AuthOfficeNotActive	Ufficio INATTIVO
AuthCommsNotActive	Comunicazioni INATTIVE
SecLogEntry	{0} ha superato il sensore {1}
LogNorth	Nord
LogSouthEast	Sud-Est
LogSouthWest	Sud-Ovest
EnterName	Username
SwipeCardPleaseInsert	Inserisci tessera
SwipeCardPleaseSwipe	Scorri tessera
SwipeCardBadRead	Errore. Riprova.
SwipeCardTooFast	Troppo veloce. Riprova.
SwipeCardTooSlow	Troppo lento. Riprova.
SwipeCardAccepted	Accettato. Grazie.
ReactorHoldToStop	Tieni premuto per fermare la fusione
ReactorWaiting	In attesa del secondo utente
ReactorNominal	Reattore stabile
MeetingWhoIsTitle	Chi è l'impostore?
MeetingVotingBegins	Il voto inizia tra {0} s
MeetingVotingEnds	Il voto termina tra {0} s
MeetingVotingResults	Risultati
MeetingProceeds	Inizio tra: {0} s
MeetingHasVoted	{0} ha votato. {1} rimanenti.
HowToPlayText1	Among Us è un gioco di collaborazione e tradimenti.\n\nI giocatori sono astronauti o impostori.
HowToPlayText2	Gioca in partite da 4 a 15 giocatori online o in locale via Wi-Fi!
HowToPlayText41	Quando ospiti una partita, decidi tu le regole del gioco.
