KEY ID	Japanese
LocalButton	ローカル
OnlineButton	オンライン
HowToPlayButton	プレイ方法
FreePlayButton	フリープレイ
PublicHeader	公開ルーム
PrivateHeader	非公開ルーム
HostHeader	ホスト
ExitButton	閉じる
BackButton	戻る
AvailableGamesLabel	参加可能ゲーム
CreateGameButton	ゲームを作成する
FindGameButton	ゲームを探す
EnterCode	コードを入力
GhostIgnoreTasks	死亡した。高みの見物といこう。
GhostDoTasks	死亡した。タスクを完了して勝利しよう。
TotalTasksCompleted	完了したタスクの合計:
GhostImpostor	死亡した。死亡後もサボタージュは可能だ。
ImpostorTask	サボタージュを行い、全員倒そう。
FakeTasks	偽のタスク:
TaskComplete	タスク完了！
ExileTextSP	{0}がインポスターだった。
ExileTextSN	{0}はインポスターではなかった。
ExileTextPP	{0}はインポスターだった。
ExileTextPN	{0}はインポスターではなかった。
NoExileSkip	誰も追放されなかった。（投票スキップ）
NoExileTie	誰も追放されなかった。（同数投票）
ExileTextNonConfirm	{0}が追放された。
ImpostorsRemainS	インポスターが{0}人残っている。
ImpostorsRemainP	インポスターが{0}人残っている。
Hallway	通路
Engines	エンジン
UpperEngine	上部エンジン
Cafeteria	カフェテリア
Weapons	ウェポンルーム
Reactor	原子炉
Security	セキュリティルーム
MedBay	医務室
LifeSupp	酸素ルーム
Nav	ナビゲーション
LowerEngine	下部エンジン
Electrical	電気室
Admin	管理室
Storage	保管庫
Shields	シールドルーム
Comms	通信室
Decontamination	除染室
Launchpad	発射台
LockerRoom	ロッカールーム
Laboratory	研究室
Balcony	バルコニー
Office	オフィス
Greenhouse	温室
DivertPowerTo	電力を{0}に変換する
AcceptDivertedPower	変換した電力を受け取る
SubmitScan	スキャンを実行する
PrimeShields	シールドを準備する
FuelEngines	エンジンに燃料供給する
ChartCourse	船の進路を決める
StartReactor	原子炉を起動する
SwipeCard	カードをスワイプする
ClearAsteroids	小惑星を一掃する
DownloadData	データをダウンロードする
UploadData	データをアップロード
InspectSample	サンプルを検査する
EmptyChute	シュートを空にする
EmptyGarbage	ゴミ箱を空にする
AlignEngineOutput	エンジン出力を調整する
FixWiring	配線の修理
CalibrateDistributor	ディストリビュータの調整
UnlockManifolds	マニホールドをアンロックする
ResetReactor	原子炉メルトダウンまであと
FixLights	照明を修理する
CleanO2Filter	酸素フィルターを掃除する
FixComms	通信が妨害された
RestoreOxy	酸素枯渇まであと
StabilizeSteering	ステアリングの安定化
AssembleArtifact	遺物を組み合わせる
SortSamples	標本を分類する
MeasureWeather	気象を調べる
EnterIdCode	IDコードの入力
BuyBeverage	飲み物を買う
ProcessData	データを処理する
NumImpostorsS	この中に<color=#FF1919FF>インポスターが1人</color>いる
NumImpostorsP	この中に<color=#FF1919FF>{0}インポスターが</color>いる
Crewmate	クルー
Impostor	インポスター
Victory	勝利
Defeat	敗北
CrewmatesDisconnected	クルーの大半が\n接続されていない
ImpostorDisconnected	インポスターが接続されていない
PickAnomaly	異変を見つける
WaterPlantsGetCan	ジョウロを獲得！
AuthOfficeOkay	オフィス問題なし
AuthCommsOkay	通信問題なし
AuthOfficeActive	オフィス稼働中
AuthCommsActive	通信稼働中
AuthOfficeNotActive	オフィスは稼働していない
