KEY ID	Russian
LocalButton	Локально
OnlineButton	Онлайн
HowToPlayButton	Как играть
FreePlayButton	Песочница
PublicHeader	Публичные комнаты
PrivateHeader	Частная комната
HostHeader	Создать комнату
ExitButton	Выйти
BackButton	Назад
AvailableGamesLabel	Доступные игры
CreateGameButton	Создать
FindGameButton	Найти игру
EnterCode	Ввести код
GhostIgnoreTasks	Вы мертвы. Наслаждайтесь хаосом.
GhostDoTasks	Вы мертвы. Для победы выполните все задания.
TotalTasksCompleted	Всего заданий выполнено
GhostImpostor	Вы мертвы. Все еще можно устроить саботаж.
ImpostorTask	Устройте саботаж и убейте всех.
FakeTasks	Фальшивые задания:
TaskComplete	Задание выполнено!
ExileTextSP	Член экипажа {0} был(-а) предателем.
ExileTextSN	Член экипажа {0} не был(-а) предателем.
ExileTextPP	Член экипажа {0} был(-а) одним из предателей.
ExileTextPN	Член экипажа {0} не был(-а) предателем.
NoExileSkip	Никого не выбросили (пропуск).
NoExileTie	Никого не выбросили (ничья).
ExileTextNonConfirm	{0} выбрасывают.
ImpostorsRemainS	Берегитесь еще {0} предателя.
ImpostorsRemainP	Берегитесь еще {0} предателей.
Hallway	Коридор
Engines	Моторы
UpperEngine	Верхний мотор 
Cafeteria	Столовая
Weapons	Оружие
Reactor	Реактор
Security	Охрана
MedBay	Медотсек
LifeSupp	O2
Nav	Навигация
LowerEngine	Ниж. Мотор
Electrical	Электрощит
Admin	Админ
Storage	Склад
Shields	Щиты
Comms	Связь
Decontamination	Дезинфекция
Launchpad	Стартовая площадка
LockerRoom	Гардероб
Laboratory	Лаб.
Balcony	Балкон
Office	Офис
Greenhouse	Теплица
DivertPowerTo	Подать энергию: «{0}»
AcceptDivertedPower	Принять подачу энергии
SubmitScan	Пройти скан.
PrimeShields	Запустить щиты
FuelEngines	Заправить моторы
ChartCourse	Проложить маршрут
StartReactor	Запустить реактор
SwipeCard	Провести картой
ClearAsteroids	Разрушить астероиды
DownloadData	Скачать данные
UploadData	Загрузить данные
InspectSample	Исследовать образец
EmptyChute	Очистить мусоросбор.
EmptyGarbage	Выбросить мусор
AlignEngineOutput	Выровнять отдачу моторов
FixWiring	Починить проводку
CalibrateDistributor	Откалибр. распред.
UnlockManifolds	Открыть коллекторы
ResetReactor	Расплавление в реакторе  
FixLights	Освещение нарушено
CleanO2Filter	Очистить фильтр O2
FixComms	Саботаж связи
RestoreOxy	Прекращение подачи O2  
StabilizeSteering	Выровнять курс
AssembleArtifact	Собрать артефакт
SortSamples	Разобрать образцы
MeasureWeather	Изучить погодные условия
EnterIdCode	Ввести код доступа
BuyBeverage	Купить напиток
ProcessData	Обработать данные
NumImpostorsS	Берегитесь <color=#FF1919FF>1 предателя</color> среди нас
NumImpostorsP	Берегитесь <color=#FF1919FF>{0} предателей</color> среди нас
Crewmate	Член экипажа
Impostor	Предатель
Victory	Победа
Defeat	Поражение
CrewmatesDisconnected	Большая часть экипажа\nотключилась
ImpostorDisconnected	Предатель отключился
