KEY ID	Spanish (EU)
LocalButton	Local
OnlineButton	En línea
HowToPlayButton	Cómo jugar
FreePlayButton	Modo libre
PublicHeader	Pública
PrivateHeader	Privada
HostHeader	Anfitrión
ExitButton	Salir
BackButton	Atrás
AvailableGamesLabel	Salas disponibles
CreateGameButton	Crear partida
FindGameButton	Buscar partida
EnterCode	Meter código
GhostIgnoreTasks	Has muerto. Disfruta del caos.
GhostDoTasks	Has muerto. Termina tus tareas para ganar.
TotalTasksCompleted	Total de tareas completadas
GhostImpostor	Has muerto. Aún puedes seguir saboteando.
ImpostorTask	Sabotea y mata a todo el mundo.
FakeTasks	Tareas falsas:
TaskComplete	¡Tarea completada!
ExileTextSP	{0} era el impostor.
ExileTextSN	{0} no era el impostor.
ExileTextPP	{0} era un impostor.
ExileTextPN	{0} no era un impostor.
NoExileSkip	Nadie ha sido expulsado (abstención).
NoExileTie	Nadie ha sido expulsado (empate).
ExileTextNonConfirm	Se ha expulsado a {0}.
ImpostorsRemainS	Queda {0} impostor.
ImpostorsRemainP	Quedan {0} impostores.
Hallway	Pasillo
Engines	Motores
UpperEngine	Motor superior
Cafeteria	Cafetería
Weapons	Armamento
Reactor	Reactor
Security	Seguridad
MedBay	Ala médica
LifeSupp	O2
Nav	Navegación
LowerEngine	Motor inferior
Electrical	Electricidad
Admin	Administración
Storage	Almacén
Shields	Escudos
Comms	Comunicaciones
Decontamination	Descontaminación
Launchpad	Plataforma
LockerRoom	Vestuario
Laboratory	Laboratorio
Balcony	Balcón
Office	Oficina
Greenhouse	Invernadero
DivertPowerTo	Desviar energía a {0}
AcceptDivertedPower	Aceptar energía desviada
SubmitScan	Enviar escaneo
PrimeShields	Preparar escudos
FuelEngines	Recargar motores
ChartCourse	Trazar ruta
StartReactor	Arrancar reactor
SwipeCard	Pasar tarjeta
ClearAsteroids	Destruir asteroides
DownloadData	Descargar datos
UploadData	Subir datos
InspectSample	Examinar muestra
EmptyChute	Vaciar contenedor
EmptyGarbage	Vaciar basurero
AlignEngineOutput	Alinear salida del motor
FixWiring	Reparar cableado
CalibrateDistributor	Calibrar distribuidor
UnlockManifolds	Desbloquear colectores
ResetReactor	Fusión del reactor en
FixLights	Reparar luces
CleanO2Filter	Limpiar filtro de O2
FixComms	Comunicaciones saboteadas
RestoreOxy	El oxígeno se acaba en
StabilizeSteering	Estabilizar dirección
AssembleArtifact	Montar artefacto
