KEY ID	Spanish (LA)
LocalButton	Local
OnlineButton	En línea
HowToPlayButton	Cómo jugar
FreePlayButton	Modo libre
PublicHeader	Pública
PrivateHeader	Privada
HostHeader	Organizar
ExitButton	Salir
BackButton	Atrás
AvailableGamesLabel	Abiertas
CreateGameButton	Crear partida
FindGameButton	Busc. part.
EnterCode	Código
GhostIgnoreTasks	Moriste. Disfruta el caos.
GhostDoTasks	Moriste. Termina las tareas para ganar.
TotalTasksCompleted	Total tareas completadas
GhostImpostor	Moriste. Todavía puedes sabotear.
ImpostorTask	Sabotea y mátalos a todos.
FakeTasks	Tareas falsas:
TaskComplete	¡Tarea completada!
ExileTextSP	{0} era el impostor.
ExileTextSN	{0} no era el impostor.
ExileTextPP	{0} era un impostor.
ExileTextPN	{0} no era un impostor.
NoExileSkip	No se eyectó a nadie. (Omisión)
NoExileTie	No se eyectó a nadie. (Empate)
ExileTextNonConfirm	Se eyectó a {0}.
ImpostorsRemainS	Queda {0} impostor.
ImpostorsRemainP	Quedan {0} impostores.
Hallway	Corredor
Engines	Motores
UpperEngine	Motor superior
Cafeteria	Cafetería
Weapons	Armas
Reactor	Reactor
Security	Seguridad
MedBay	Área médica
LifeSupp	O2
Nav	Navegación
LowerEngine	Motor inferior
Electrical	Electricidad
Admin	Gestión
Storage	Almacén
Shields	Escudos
Comms	Comunicaciones
Decontamination	Descontaminación
Launchpad	Lanzadera
LockerRoom	Vestuarios
Laboratory	Laboratorio
Balcony	Balcón
Office	Oficina
Greenhouse	Invernadero
DivertPowerTo	Desviar energía a {0}
AcceptDivertedPower	Aceptar energía desviada
SubmitScan	Enviar escaneo
PrimeShields	Preparar escudos
FuelEngines	Abastecer motores
ChartCourse	Trazar curso
StartReactor	Iniciar reactor
SwipeCard	Pasar tarj.
ClearAsteroids	Elim. asteroides
DownloadData	Descargar datos
UploadData	Cargar datos
InspectSample	Examinar muestra
EmptyChute	Vaciar vertidos
EmptyGarbage	Vaciar basura
AlignEngineOutput	Alinear salida motor
FixWiring	Reparar cables
CalibrateDistributor	Calibrar distribuidor
UnlockManifolds	Desbloq. colectores
ResetReactor	Fusión del reactor en
FixLights	Reparar luces
CleanO2Filter	Limpiar filtro
FixComms	Comunicaciones saboteadas
RestoreOxy	Oxígeno agotado en
StabilizeSteering	Estabilizar dirección
AssembleArtifact	Ensamblar artefacto
SortSamples	Ordenar muestras
