KEY ID	T.Chinese
LocalButton	本地
OnlineButton	線上
HowToPlayButton	如何遊玩
FreePlayButton	自由模式
PublicHeader	公開
PrivateHeader	私人
HostHeader	主持
ExitButton	結束
BackButton	返回
AvailableGamesLabel	可加入的遊戲
CreateGameButton	建立遊戲
FindGameButton	尋找遊戲
EnterCode	輸入代碼
GhostIgnoreTasks	您死了。享受這場混亂吧。
GhostDoTasks	您死了。完成任務來獲得勝利。
TotalTasksCompleted	已完成任務總數
GhostImpostor	您死了。您仍可以搞破壞。
ImpostorTask	搞破壞並殺死所有人。
FakeTasks	假任務：
TaskComplete	任務已完成！
ExileTextSP	{0} 是偽裝者。
ExileTextSN	{0} 不是偽裝者。
ExileTextPP	{0} 是偽裝者之一。
ExileTextPN	{0} 不是偽裝者之一。
NoExileSkip	沒有人被逐出。(已跳過)
NoExileTie	沒有人被逐出。(平局)
ExileTextNonConfirm	{0} 已被逐出。
ImpostorsRemainS	剩下 {0} 個偽裝者。
ImpostorsRemainP	剩下 {0} 個偽裝者。
Hallway	走廊
Engines	引擎室
UpperEngine	上引擎室
Cafeteria	餐廳
Weapons	艦載武器室
Reactor	反應爐
Security	保全室
MedBay	醫務室
LifeSupp	氧氣室
Nav	導航室
LowerEngine	下引擎室
Electrical	電氣室
Admin	管理室
Storage	儲藏室
Shields	護盾室
Comms	通訊室
Decontamination	除污室
Launchpad	發射台
LockerRoom	更衣室
Laboratory	實驗室
Balcony	露臺
Office	辦公室
Greenhouse	溫室
DivertPowerTo	將電力轉移至{0}
AcceptDivertedPower	接受轉移電力
SubmitScan	提交掃描結果
PrimeShields	啟動護盾
FuelEngines	為引擎添加燃料
ChartCourse	制定航行路線
StartReactor	啟動反應爐
SwipeCard	刷卡
ClearAsteroids	清除小行星
DownloadData	下載資料
UploadData	上傳資料
InspectSample	檢查樣本
EmptyChute	清空垃圾滑道
EmptyGarbage	清空垃圾
AlignEngineOutput	校正引擎輸出
FixWiring	修復線路
CalibrateDistributor	校正配電盤
UnlockManifolds	解鎖歧管
ResetReactor	反應爐熔毀倒數：
FixLights	修復照明
CleanO2Filter	清理氧氣濾器
FixComms	通訊破壞
RestoreOxy	氧氣耗盡倒數：
StabilizeSteering	穩定轉向
AssembleArtifact	組合文物
SortSamples	將樣本分類
MeasureWeather	測量氣候
EnterIdCode	輸入識別碼
BuyBeverage	購買飲料
ProcessData	處理資料
NumImpostorsS	我們之中有 <color=#FF1919FF>1 個偽裝者</color>
NumImpostorsP	我們之中有 <color=#FF1919FF>{0} 個偽裝者</color>
Crewmate	船員
Impostor	偽裝者
Victory	勝利
Defeat	失敗
CrewmatesDisconnected	大部分船員\n已斷線
ImpostorDisconnected	偽裝者已斷線
PickAnomaly	找出異常情況
WaterPlantsGetCan	取得澆水壺！
AuthOfficeOkay	辦公室正常
AuthCommsOkay	通訊室正常
AuthOfficeActive	辦公室已啟動
AuthCommsActive	通訊室已啟動
AuthOfficeNotActive	辦公室未啟動
AuthCommsNotActive	通訊室未啟動
SecLogEntry	{0} 已經過{1}感應器
LogNorth	北側
LogSouthEast	東南側
LogSouthWest	西南側
EnterName	輸入名稱
SwipeCardPleaseInsert	請插卡
SwipeCardPleaseSwipe	請刷卡
SwipeCardBadRead	讀取失敗。請再試一次。
SwipeCardTooFast	速度過快。請再試一次。
SwipeCardTooSlow	速度過慢。請再試一次。
SwipeCardAccepted	已接受。謝謝您。
ReactorHoldToStop	按住以阻止熔毀
ReactorWaiting	正在等候第二個使用者
ReactorNominal	反應爐正常
MeetingWhoIsTitle	誰是偽裝者？
MeetingVotingBegins	投票開始倒數：{0} 秒
MeetingVotingEnds	投票結束倒數：{0} 秒
MeetingVotingResults	投票結果
MeetingProceeds	執行倒數：{0} 秒
MeetingHasVoted	{0} 已投票。{1} 個人尚未投票。
HowToPlayText1	《Among Us》是款充滿合作與背叛的遊戲。\n\n玩家會扮演船員或偽裝者。
HowToPlayText2	與 4 到 15 個玩家在線上或透過本地 WiFi 一起遊玩！
HowToPlayText41	主持遊戲時，您可以控制遊戲進行的方式。
